claim_id,policy_id,claim_date,claim_amount,claim_status,claim_type
1,911,2025-03-13,41826.03,Pending,Theft
2,11316,2025-06-12,24780.72,Denied,Theft
3,15580,2025-02-19,13904.95,Pending,Theft
4,142,2025-04-27,35839.58,Pending,Theft
5,13845,2024-10-12,30863.23,Denied,Death
6,25428,2024-06-09,23864.26,Denied,Medical
7,34995,2024-03-23,14022.19,Approved,Accident
8,12231,2025-08-05,11478.92,Approved,Death
9,37309,2025-05-17,44325.3,Pending,Death
10,12017,2026-02-22,37656.16,Approved,Accident
11,13392,2026-01-29,21300.84,Pending,Medical
12,33991,2025-02-05,21560.12,Denied,Accident
13,21410,2026-03-10,34381.45,Denied,Medical
14,16773,2025-01-05,25143.91,Pending,Medical
15,29931,2025-11-12,19496.73,Pending,Death
16,7745,2025-01-02,17279.73,Pending,Theft
17,16522,2026-02-02,8271.41,Pending,Medical
18,17197,2026-03-09,1090.69,Pending,Accident
19,9495,2025-10-30,5258.12,Pending,Theft
20,10803,2024-07-06,43257.15,Denied,Accident
21,28928,2024-11-12,41112.53,Approved,Death
22,3326,2024-05-16,23171.32,Denied,Medical
23,1069,2024-10-31,23422.88,Denied,Medical
24,1837,2025-01-20,39118.93,Approved,Medical
25,10846,2025-03-16,20235.48,Approved,Death
26,27786,2026-03-17,30048.43,Approved,Medical
27,35141,2025-11-20,23187.08,Approved,Theft
28,25885,2025-08-02,40870.21,Pending,Death
29,17297,2025-11-27,34483.78,Approved,Accident
30,22044,2025-01-14,11746.29,Approved,Theft
31,28767,2025-04-24,14902.78,Approved,Theft
32,5376,2025-11-21,43231.91,Pending,Theft
33,15218,2024-07-07,46511.17,Pending,Medical
34,24238,2024-08-12,6257.69,Pending,Medical
35,13954,2024-12-04,43415.86,Pending,Medical
36,24594,2025-06-30,42835.03,Pending,Medical
37,22069,2025-09-14,20957.63,Approved,Death
38,27737,2024-10-11,17842.52,Pending,Theft
39,18352,2024-05-25,33395.19,Denied,Death
40,30276,2025-01-04,34548.04,Denied,Accident
41,38255,2024-11-24,17182.87,Pending,Accident
42,26049,2024-10-24,424.22,Denied,Theft
43,27198,2025-07-08,10762.06,Denied,Medical
44,3856,2025-08-17,1151.25,Pending,Accident
45,8572,2025-04-01,24648.11,Pending,Accident
46,2624,2024-05-18,18109.15,Approved,Death
47,22842,2025-07-25,17177.71,Approved,Medical
48,33881,2025-04-24,23964.36,Approved,Death
49,36158,2025-06-27,47829.59,Pending,Accident
50,20062,2025-05-18,26117.12,Denied,Accident
51,17890,2025-01-06,4102.34,Denied,Death
52,37615,2025-06-13,46791.86,Approved,Theft
53,38587,2024-12-09,41022.7,Approved,Accident
54,10420,2024-07-12,3455.9,Approved,Medical
55,21041,2024-03-27,23281.8,Denied,Theft
56,30422,2024-11-23,45644.11,Denied,Death
57,12585,2025-08-20,22456.69,Approved,Death
58,30554,2025-01-08,1748.91,Denied,Death
59,1227,2024-09-13,36943.9,Pending,Theft
60,7728,2024-12-26,46246.77,Denied,Theft
61,14303,2025-08-09,2251.22,Approved,Accident
62,27694,2025-12-27,19948.19,Pending,Accident
63,19703,2025-07-14,49801.06,Denied,Theft
64,12193,2025-02-03,44206.48,Approved,Accident
65,8375,2024-06-16,44032.24,Approved,Death
66,17189,2025-09-29,47556.28,Approved,Theft
67,31248,2025-11-26,5535.73,Denied,Theft
68,35507,2024-08-29,9750.96,Approved,Medical
69,18368,2025-08-13,24214.33,Pending,Theft
70,30571,2024-12-31,15064.27,Denied,Accident
71,32977,2024-11-03,46706.99,Denied,Medical
72,9215,2024-06-14,38718.58,Approved,Medical
73,6439,2024-12-13,16480.56,Approved,Medical
74,725,2025-02-12,1119.78,Pending,Medical
75,28515,2025-08-17,20258.37,Pending,Theft
76,636,2025-12-17,9836.67,Approved,Medical
77,833,2025-05-20,31920.49,Approved,Medical
78,4557,2024-10-18,18465.84,Approved,Death
79,36362,2024-06-21,21367.52,Approved,Medical
80,21943,2025-08-13,7249.71,Pending,Accident
81,20744,2024-11-14,35343.22,Pending,Medical
82,15112,2026-02-02,19504.19,Denied,Accident
83,22657,2025-10-12,20086.32,Denied,Theft
84,25320,2025-07-05,42416.91,Pending,Medical
85,9400,2025-12-09,31576.84,Denied,Accident
86,18168,2026-01-31,41931.57,Denied,Theft
87,20116,2024-05-15,38710.86,Pending,Accident
88,5130,2024-04-25,27461.47,Denied,Death
89,11942,2025-12-26,19180.8,Pending,Accident
90,8631,2025-09-07,9770.1,Pending,Theft
91,21821,2024-10-01,29646.58,Pending,Death
92,24558,2025-09-24,32963.45,Approved,Theft
93,37064,2025-08-06,3816.11,Denied,Medical
94,32243,2025-05-26,43958.78,Denied,Death
95,15388,2025-06-14,41117.42,Approved,Death
96,28175,2025-03-08,29843.46,Denied,Theft
97,20239,2025-07-05,26883.58,Denied,Death
98,35873,2024-08-11,27744.2,Pending,Medical
99,672,2025-03-31,43857.84,Approved,Accident
100,23446,2025-05-20,233.8,Pending,Accident
101,8319,2026-02-22,510.07,Pending,Theft
102,31437,2024-04-26,39510.12,Pending,Accident
103,6308,2024-10-10,45146.2,Pending,Death
104,3897,2024-06-01,33139.51,Approved,Death
105,39813,2026-03-02,6630.82,Denied,Medical
106,4569,2024-09-18,10385.82,Denied,Medical
107,7078,2025-01-25,48038.26,Denied,Death
108,11893,2025-04-05,6812.47,Denied,Theft
109,26804,2025-05-08,14789.89,Pending,Medical
110,31359,2024-11-01,23092.98,Pending,Death
111,25893,2025-10-25,16802.61,Pending,Medical
112,14020,2025-06-26,8693.78,Denied,Accident
113,10204,2025-02-15,23158.66,Approved,Accident
114,12845,2025-12-17,42223.34,Denied,Death
115,26076,2026-01-13,22258.24,Pending,Death
116,774,2025-02-11,3682.48,Pending,Theft
117,20663,2025-04-20,18401.68,Denied,Medical
118,7474,2024-09-11,41248.39,Pending,Theft
119,26459,2025-12-10,5181.65,Denied,Death
120,17500,2025-08-08,25489.22,Denied,Theft
121,4089,2025-10-05,25675.36,Approved,Accident
122,16477,2025-10-13,20157.2,Approved,Theft
123,2228,2025-09-27,37056.03,Denied,Death
124,10848,2024-10-21,9008.0,Pending,Accident
125,35927,2024-05-19,21904.69,Approved,Death
126,4271,2024-08-31,9589.86,Denied,Accident
127,2299,2025-05-05,23287.33,Approved,Accident
128,9625,2026-02-23,41245.37,Approved,Medical
129,17652,2024-05-23,40203.79,Denied,Theft
130,20120,2024-08-17,2265.53,Pending,Death
131,10641,2025-04-24,16780.07,Denied,Theft
132,39360,2024-07-25,46626.75,Pending,Medical
133,20839,2024-09-01,10814.72,Approved,Death
134,18754,2025-01-17,25118.37,Denied,Theft
135,32743,2025-01-31,26397.83,Pending,Accident
136,36137,2026-01-05,48901.79,Denied,Medical
137,22643,2024-10-01,11471.39,Denied,Theft
138,13227,2025-07-03,32143.63,Denied,Medical
139,27824,2025-12-24,30640.53,Approved,Accident
140,11248,2025-11-28,36960.75,Pending,Theft
141,27482,2025-11-25,18388.36,Approved,Medical
142,6405,2026-01-19,46512.73,Denied,Death
143,8935,2025-02-13,20229.82,Pending,Accident
144,17487,2025-02-16,33696.24,Denied,Death
145,25400,2024-10-25,35260.07,Denied,Accident
146,34092,2024-12-03,20606.79,Pending,Medical
147,39743,2024-08-30,24416.4,Pending,Death
148,18450,2024-10-30,48967.72,Denied,Death
149,36892,2024-08-06,18658.6,Pending,Accident
150,30508,2025-07-09,6157.26,Denied,Medical
151,27951,2024-11-09,13763.43,Denied,Death
152,15736,2025-09-23,33427.62,Pending,Medical
153,9810,2025-03-13,43277.32,Approved,Medical
154,32003,2025-09-04,28727.22,Approved,Accident
155,35875,2025-12-26,42033.46,Approved,Theft
156,39793,2024-04-29,20845.76,Pending,Death
157,37649,2024-10-20,42007.73,Denied,Accident
158,16471,2025-10-05,49061.27,Pending,Theft
159,28803,2024-10-09,14799.1,Approved,Accident
160,33263,2025-01-04,26232.23,Denied,Theft
161,6889,2025-01-25,12440.53,Denied,Theft
162,25420,2025-08-09,43641.08,Pending,Medical
163,29508,2026-03-14,14270.61,Pending,Accident
164,39080,2025-12-25,19036.88,Approved,Accident
165,23490,2025-12-01,25063.97,Denied,Theft
166,2119,2025-08-06,17310.68,Denied,Theft
167,36688,2025-02-15,2311.81,Pending,Accident
168,37666,2026-03-08,3507.43,Denied,Medical
169,25521,2025-02-27,18457.25,Denied,Death
170,38771,2024-12-29,19544.08,Pending,Theft
171,356,2024-07-25,31494.3,Denied,Accident
172,4010,2025-03-18,32591.26,Approved,Death
173,22895,2025-05-27,39063.66,Denied,Accident
174,29791,2024-11-02,23574.98,Denied,Medical
