policy_id,customer_id,policy_number,product_type,start_date,end_date,premium_amount,status
1,1825,POL-00000001,Auto,2026-01-03,2028-05-18,150.44,Cancelled
2,1680,POL-00000002,Auto,2023-12-26,2025-02-28,63.41,Active
3,3812,POL-00000003,Auto,2024-04-04,2028-11-24,365.6,Lapsed
4,3612,POL-00000004,Health,2025-05-19,2026-06-01,391.46,Active
5,6925,POL-00000005,Life,2026-01-13,2028-03-28,480.75,Lapsed
6,1675,POL-00000006,Auto,2024-08-09,2027-08-14,431.37,Cancelled
7,4334,POL-00000007,Auto,2024-07-31,2028-08-02,106.17,Lapsed
8,1292,POL-00000008,Life,2025-11-10,2030-04-29,448.45,Lapsed
9,9460,POL-00000009,Home,2024-01-08,2025-04-10,347.57,Lapsed
10,1308,POL-00000010,Home,2024-04-01,2027-05-19,175.09,Cancelled
11,5978,POL-00000011,Home,2024-02-17,2026-04-21,351.58,Cancelled
12,1170,POL-00000012,Home,2024-01-19,2026-06-03,123.53,Lapsed
13,4423,POL-00000013,Home,2025-04-19,2026-08-11,153.07,Active
14,5169,POL-00000014,Health,2023-11-22,2026-01-27,460.91,Cancelled
15,5156,POL-00000015,Home,2025-04-06,2028-06-24,448.11,Cancelled
16,7518,POL-00000016,Home,2023-05-23,2025-10-09,385.25,Cancelled
17,4305,POL-00000017,Health,2023-11-07,2027-02-01,212.9,Active
18,8349,POL-00000018,Health,2024-11-19,,71.2,Active
19,2505,POL-00000019,Home,2025-04-13,2028-08-24,318.38,Lapsed
20,6253,POL-00000020,Health,2024-12-03,2029-01-09,437.35,Active
21,1877,POL-00000021,Life,2023-07-09,2026-06-04,100.2,Lapsed
22,2592,POL-00000022,Health,2025-09-25,,374.94,Cancelled
23,4316,POL-00000023,Home,2026-02-19,2027-09-24,441.73,Lapsed
24,8318,POL-00000024,Home,2025-12-10,,393.13,Cancelled
25,8690,POL-00000025,Auto,2024-12-10,2028-09-05,58.76,Lapsed
26,5039,POL-00000026,Home,2026-01-16,,445.1,Active
27,1404,POL-00000027,Health,2025-05-28,2029-05-22,394.63,Active
28,7788,POL-00000028,Home,2025-06-29,2029-11-22,240.41,Active
29,8836,POL-00000029,Home,2024-07-14,2027-10-09,497.82,Cancelled
30,6119,POL-00000030,Health,2025-01-07,2028-07-19,104.45,Active
31,1050,POL-00000031,Life,2026-01-19,,299.26,Cancelled
32,3609,POL-00000032,Auto,2026-02-01,,334.0,Active
33,1105,POL-00000033,Auto,2025-08-30,2027-01-22,281.37,Lapsed
34,7954,POL-00000034,Home,2025-10-30,2030-01-11,309.3,Active
35,7750,POL-00000035,Health,2025-10-04,,93.62,Lapsed
36,5805,POL-00000036,Health,2023-08-23,2024-12-10,353.01,Cancelled
37,1613,POL-00000037,Auto,2024-03-03,2027-01-26,410.27,Active
38,4074,POL-00000038,Home,2026-03-01,,251.88,Lapsed
39,3007,POL-00000039,Life,2025-04-16,2026-09-17,249.41,Cancelled
40,1605,POL-00000040,Auto,2024-06-12,2028-06-23,426.21,Active
41,3873,POL-00000041,Home,2025-01-19,2028-09-30,146.19,Lapsed
42,961,POL-00000042,Home,2025-05-07,2028-07-14,169.34,Lapsed
43,4674,POL-00000043,Health,2025-12-17,2030-01-28,347.84,Lapsed
44,2537,POL-00000044,Home,2024-04-26,2025-08-23,310.63,Cancelled
45,999,POL-00000045,Life,2026-02-24,,312.88,Cancelled
46,8702,POL-00000046,Home,2023-11-08,,278.52,Active
47,1123,POL-00000047,Auto,2023-10-25,2026-02-17,231.7,Cancelled
48,4034,POL-00000048,Auto,2024-11-20,2028-03-27,345.82,Cancelled
49,8566,POL-00000049,Life,2024-03-23,2026-05-15,351.38,Lapsed
50,3911,POL-00000050,Life,2025-01-17,2029-10-23,340.48,Lapsed
51,5181,POL-00000051,Auto,2023-09-25,,329.52,Cancelled
52,1639,POL-00000052,Auto,2023-07-06,2027-05-07,169.34,Lapsed
53,1128,POL-00000053,Home,2026-01-15,2027-12-04,247.18,Cancelled
54,4957,POL-00000054,Auto,2024-04-25,2028-06-03,184.72,Cancelled
55,1698,POL-00000055,Home,2024-11-19,2026-06-26,384.09,Active
56,4463,POL-00000056,Life,2023-12-03,2026-11-04,141.62,Cancelled
57,4326,POL-00000057,Health,2025-05-26,2026-09-07,91.53,Lapsed
58,4534,POL-00000058,Auto,2025-10-24,,397.0,Cancelled
59,4292,POL-00000059,Home,2023-06-29,2027-08-01,367.55,Cancelled
60,159,POL-00000060,Auto,2025-10-07,,447.4,Active
61,8939,POL-00000061,Auto,2025-10-26,2030-01-30,298.64,Lapsed
62,2089,POL-00000062,Auto,2025-12-16,2027-03-07,454.52,Active
63,4089,POL-00000063,Auto,2023-05-10,2027-06-29,447.86,Lapsed
64,2533,POL-00000064,Home,2024-06-09,2026-06-06,446.64,Active
65,2939,POL-00000065,Life,2025-05-11,2028-08-31,411.01,Cancelled
66,4066,POL-00000066,Life,2023-09-17,,365.58,Lapsed
67,635,POL-00000067,Health,2024-10-10,2028-05-09,207.35,Active
68,3653,POL-00000068,Auto,2025-10-10,2029-01-03,197.72,Active
69,4574,POL-00000069,Life,2024-12-30,2028-03-27,355.78,Cancelled
70,5426,POL-00000070,Auto,2025-05-28,,486.68,Active
71,9513,POL-00000071,Life,2026-01-17,,318.46,Lapsed
